client_id,number_contacts,month,day,contact_duration,previous_campaign_contacts,previous_outcome,campaign_outcome,year,last_contact_date
0,1,may,13,261,0,False,False,2022,2022-05-13 00:00:00
1,1,may,19,149,0,False,False,2022,2022-05-19 00:00:00
2,1,may,23,226,0,False,False,2022,2022-05-23 00:00:00
3,1,may,27,151,0,False,False,2022,2022-05-27 00:00:00
4,1,may,3,307,0,False,False,2022,2022-05-03 00:00:00
5,1,may,5,198,0,False,False,2022,2022-05-05 00:00:00
6,1,may,3,139,0,False,False,2022,2022-05-03 00:00:00
7,1,may,12,217,0,False,False,2022,2022-05-12 00:00:00
8,1,may,21,380,0,False,False,2022,2022-05-21 00:00:00
9,1,may,5,50,0,False,False,2022,2022-05-05 00:00:00
10,1,may,8,55,0,False,False,2022,2022-05-08 00:00:00
11,1,may,9,222,0,False,False,2022,2022-05-09 00:00:00
12,1,may,29,137,0,False,False,2022,2022-05-29 00:00:00
13,1,may,14,293,0,False,False,2022,2022-05-14 00:00:00
14,1,may,29,146,0,False,False,2022,2022-05-29 00:00:00
15,1,may,29,174,0,False,False,2022,2022-05-29 00:00:00
16,1,may,1,312,0,False,False,2022,2022-05-01 00:00:00
17,1,may,9,440,0,False,False,2022,2022-05-09 00:00:00
18,1,may,6,353,0,False,False,2022,2022-05-06 00:00:00
19,1,may,2,195,0,False,False,2022,2022-05-02 00:00:00
20,1,may,2,38,0,False,False,2022,2022-05-02 00:00:00
21,1,may,16,262,0,False,False,2022,2022-05-16 00:00:00
22,1,may,20,342,0,False,False,2022,2022-05-20 00:00:00
23,1,may,10,181,0,False,False,2022,2022-05-10 00:00:00
24,1,may,2,172,0,False,False,2022,2022-05-02 00:00:00
25,1,may,28,99,0,False,False,2022,2022-05-28 00:00:00
26,1,may,30,93,0,False,False,2022,2022-05-30 00:00:00
27,1,may,16,233,0,False,False,2022,2022-05-16 00:00:00
28,2,may,1,255,0,False,False,2022,2022-05-01 00:00:00
29,1,may,22,362,0,False,False,2022,2022-05-22 00:00:00
30,1,may,22,348,0,False,False,2022,2022-05-22 00:00:00
31,1,may,27,386,0,False,False,2022,2022-05-27 00:00:00
32,1,may,25,73,0,False,False,2022,2022-05-25 00:00:00
33,1,may,14,230,0,False,False,2022,2022-05-14 00:00:00
34,1,may,25,208,0,False,False,2022,2022-05-25 00:00:00
35,1,may,22,336,0,False,False,2022,2022-05-22 00:00:00
36,1,may,11,365,0,False,False,2022,2022-05-11 00:00:00
37,1,may,3,1666,0,False,False,2022,2022-05-03 00:00:00
38,1,may,2,577,0,False,False,2022,2022-05-02 00:00:00
39,1,may,20,137,0,False,False,2022,2022-05-20 00:00:00
40,1,may,5,366,0,False,False,2022,2022-05-05 00:00:00
41,1,may,25,314,0,False,False,2022,2022-05-25 00:00:00
42,1,may,22,160,0,False,False,2022,2022-05-22 00:00:00
43,1,may,1,212,0,False,False,2022,2022-05-01 00:00:00
44,1,may,17,188,0,False,False,2022,2022-05-17 00:00:00
45,1,may,28,22,0,False,False,2022,2022-05-28 00:00:00
46,1,may,15,616,0,False,False,2022,2022-05-15 00:00:00
47,1,may,3,178,0,False,False,2022,2022-05-03 00:00:00
48,1,may,26,355,0,False,False,2022,2022-05-26 00:00:00
49,2,may,26,225,0,False,False,2022,2022-05-26 00:00:00
50,1,may,3,160,0,False,False,2022,2022-05-03 00:00:00
51,1,may,9,266,0,False,False,2022,2022-05-09 00:00:00
52,1,may,11,253,0,False,False,2022,2022-05-11 00:00:00
53,1,may,13,179,0,False,False,2022,2022-05-13 00:00:00
54,2,may,12,269,0,False,False,2022,2022-05-12 00:00:00
55,1,may,8,135,0,False,False,2022,2022-05-08 00:00:00
56,1,may,17,161,0,False,False,2022,2022-05-17 00:00:00
57,1,may,8,787,0,False,False,2022,2022-05-08 00:00:00
58,1,may,8,145,0,False,False,2022,2022-05-08 00:00:00
59,1,may,18,174,0,False,False,2022,2022-05-18 00:00:00
60,1,may,3,449,0,False,False,2022,2022-05-03 00:00:00
61,1,may,23,812,0,False,False,2022,2022-05-23 00:00:00
62,1,may,27,164,0,False,False,2022,2022-05-27 00:00:00
63,1,may,29,366,0,False,False,2022,2022-05-29 00:00:00
64,1,may,19,357,0,False,False,2022,2022-05-19 00:00:00
65,1,may,15,232,0,False,False,2022,2022-05-15 00:00:00
66,1,may,16,91,0,False,False,2022,2022-05-16 00:00:00
67,1,may,21,273,0,False,False,2022,2022-05-21 00:00:00
68,2,may,29,158,0,False,False,2022,2022-05-29 00:00:00
69,1,may,4,177,0,False,False,2022,2022-05-04 00:00:00
70,1,may,28,200,0,False,False,2022,2022-05-28 00:00:00
71,1,may,26,172,0,False,False,2022,2022-05-26 00:00:00
72,1,may,18,176,0,False,False,2022,2022-05-18 00:00:00
73,1,may,14,211,0,False,False,2022,2022-05-14 00:00:00
74,1,may,26,214,0,False,False,2022,2022-05-26 00:00:00
75,1,may,20,1575,0,False,True,2022,2022-05-20 00:00:00
76,1,may,16,349,0,False,False,2022,2022-05-16 00:00:00
77,2,may,28,337,0,False,False,2022,2022-05-28 00:00:00
78,1,may,30,272,0,False,False,2022,2022-05-30 00:00:00
79,1,may,21,208,0,False,False,2022,2022-05-21 00:00:00
80,1,may,29,193,0,False,False,2022,2022-05-29 00:00:00
81,1,may,29,212,0,False,False,2022,2022-05-29 00:00:00
82,2,may,27,165,0,False,False,2022,2022-05-27 00:00:00
83,1,may,6,1042,0,False,True,2022,2022-05-06 00:00:00
84,1,may,23,20,0,False,False,2022,2022-05-23 00:00:00
85,1,may,12,246,0,False,False,2022,2022-05-12 00:00:00
86,2,may,23,529,0,False,False,2022,2022-05-23 00:00:00
87,1,may,21,192,0,False,False,2022,2022-05-21 00:00:00
88,1,may,19,1467,0,False,True,2022,2022-05-19 00:00:00
89,2,may,17,188,0,False,False,2022,2022-05-17 00:00:00
90,2,may,29,180,0,False,False,2022,2022-05-29 00:00:00
91,1,may,5,48,0,False,False,2022,2022-05-05 00:00:00
92,2,may,2,213,0,False,False,2022,2022-05-02 00:00:00
93,1,may,27,545,0,False,False,2022,2022-05-27 00:00:00
94,1,may,28,583,0,False,False,2022,2022-05-28 00:00:00
95,1,may,25,221,0,False,False,2022,2022-05-25 00:00:00
96,1,may,17,426,0,False,False,2022,2022-05-17 00:00:00
97,1,may,27,287,0,False,False,2022,2022-05-27 00:00:00
98,1,may,30,197,0,False,False,2022,2022-05-30 00:00:00
99,1,may,3,257,0,False,False,2022,2022-05-03 00:00:00
100,1,may,25,229,0,False,False,2022,2022-05-25 00:00:00
101,3,may,30,55,0,False,False,2022,2022-05-30 00:00:00
102,1,may,27,400,0,False,False,2022,2022-05-27 00:00:00
103,1,may,19,197,0,False,False,2022,2022-05-19 00:00:00
104,1,may,24,190,0,False,False,2022,2022-05-24 00:00:00
105,1,may,8,21,0,False,False,2022,2022-05-08 00:00:00
106,2,may,22,300,0,False,False,2022,2022-05-22 00:00:00
107,2,may,9,123,0,False,False,2022,2022-05-09 00:00:00
108,1,may,15,293,0,False,False,2022,2022-05-15 00:00:00
109,1,may,9,325,0,False,False,2022,2022-05-09 00:00:00
110,1,may,4,514,0,False,False,2022,2022-05-04 00:00:00
111,2,may,1,849,0,False,False,2022,2022-05-01 00:00:00
112,1,may,25,194,0,False,False,2022,2022-05-25 00:00:00
113,2,may,4,212,0,False,False,2022,2022-05-04 00:00:00
114,2,may,6,337,0,False,False,2022,2022-05-06 00:00:00
115,1,may,20,286,0,False,False,2022,2022-05-20 00:00:00
116,2,may,31,247,0,False,False,2022,2022-05-31 00:00:00
117,1,may,24,518,0,False,False,2022,2022-05-24 00:00:00
118,1,may,6,364,0,False,False,2022,2022-05-06 00:00:00
119,1,may,26,178,0,False,False,2022,2022-05-26 00:00:00
120,1,may,21,98,0,False,False,2022,2022-05-21 00:00:00
121,1,may,1,439,0,False,False,2022,2022-05-01 00:00:00
122,1,may,18,139,0,False,False,2022,2022-05-18 00:00:00
123,1,may,9,79,0,False,False,2022,2022-05-09 00:00:00
124,1,may,26,175,0,False,False,2022,2022-05-26 00:00:00
125,2,may,21,262,0,False,False,2022,2022-05-21 00:00:00
126,1,may,31,61,0,False,False,2022,2022-05-31 00:00:00
127,1,may,24,78,0,False,False,2022,2022-05-24 00:00:00
128,2,may,23,102,0,False,False,2022,2022-05-23 00:00:00
129,1,may,12,579,0,False,True,2022,2022-05-12 00:00:00
130,1,may,29,143,0,False,False,2022,2022-05-29 00:00:00
131,1,may,20,677,0,False,False,2022,2022-05-20 00:00:00
132,1,may,22,267,0,False,False,2022,2022-05-22 00:00:00
133,1,may,12,345,0,False,False,2022,2022-05-12 00:00:00
134,1,may,19,185,0,False,False,2022,2022-05-19 00:00:00
135,1,may,5,207,0,False,False,2022,2022-05-05 00:00:00
136,2,may,26,69,0,False,False,2022,2022-05-26 00:00:00
137,2,may,19,100,0,False,False,2022,2022-05-19 00:00:00
138,2,may,28,125,0,False,False,2022,2022-05-28 00:00:00
139,1,may,27,461,0,False,True,2022,2022-05-27 00:00:00
140,1,may,16,240,0,False,False,2022,2022-05-16 00:00:00
141,1,may,22,70,0,False,False,2022,2022-05-22 00:00:00
142,1,may,24,193,0,False,False,2022,2022-05-24 00:00:00
